,date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
77160,2001-09-23 22:58:00,junction (10 min w. of&#44 on i-10),tx,USA,oval,7.0,7 seconds,Unidentified black object flying next to I-10&#44 10 minutes West of Junction&#44 TX.,10/12/2001,30.4891667,-99.7716667
27137,2012-02-17 20:45:00,columbus,oh,USA,fireball,300.0,5 mins,4 fireballs in the sky that disappear one at a time.,5/13/2012,39.9611111,-82.9988889
10381,2001-11-18 02:30:00,seattle,wa,USA,circle,90.0,90 seconds,Two yellow-amber spheres; one disappeared slowly&#44 the other changed direction&#44 stopped&#44 &amp; vanished.,11/20/2001,47.6063889,-122.3308333
17711,2005-12-12 23:00:00,evanston,wy,USA,sphere,240.0,several hours,multicolored lights hover and fly  over evanston&#44wy  ((NUFORC Note:  Probably a celestial body&#44 we suspect.  PD)),2/14/2006,41.2683333,-110.9625
28016,2002-02-22 10:00:00,front royal,va,USA,egg,600.0,10min,while headed north on route 522 i noticed a silver orb &#44 at first I thought it was a high altidude ballon with a milar coteing . while,8/24/2004,38.9180556,-78.1947222
14328,1999-01-14 19:00:00,lake wales,fl,USA,fireball,1800.0,30 mimutes,we have been video tapping strange craft here for the last three days they are yellow fireballs they appear in the sky and dont move fo,2/16/1999,27.9011111,-81.5861111
22015,2008-01-23 19:30:00,windsor,va,USA,light,10.0,10 seconds,two lights shoot  from East to West  in Virginia,2/14/2008,36.8083333,-76.7444444
38764,2014-04-23 23:20:00,harrisburg,pa,USA,unknown,60.0,60 seconds,2 years ago I had an extreme close fly-by of a blue light.,4/24/2014,40.2736111,-76.8847222
14900,2005-01-15 23:30:00,kildeer,il,USA,unknown,3.0,2-3 seconds,Electro camoflage military?,6/20/2005,42.1705556,-88.0477778
74886,2006-09-15 14:00:00,brampton (canada),on,Canada,circle,300.0,5 min.,On Sept 16/2006 silent silver sphere passed horizontally overhead slowly&#44 seemed to avoid viewing by rapidly ascending into cloud cover,1/21/2008,43.683333,-79.766667
58029,2003-07-19 22:00:00,burlington (canada),on,Canada,fireball,10.0,10 seconds,looked like a comet,7/23/2003,43.316667,-79.8
35513,2007-03-09 00:00:00,snellville,ga,USA,triangle,2.0,seconds,This is just a dream I had yesterday&#44 but is not the first time I have this dream&#44 1st time is was around march 1996&#44 in my dream on 19,4/27/2007,33.8572222,-84.02
43702,2006-05-02 01:30:00,las vegas,nv,USA,circle,300.0,5 minutes,5 objects travelling at high speed and fliying  in patterns that would defy currently known limits.,7/16/2006,36.175,-115.1363889
8004,2009-11-11 18:00:00,marysville,wa,USA,light,35.0,35 sec,Bright Light - High Flyer moving at very high speed making W shaped turns without slowing.,12/12/2009,48.0519444,-122.1758333
72618,2004-08-09 00:50:00,portland,or,USA,triangle,5.0,5 seconds,7 very fast moving lights over Portland Oregon&#33,8/11/2004,45.5236111,-122.675
19905,2011-12-22 17:45:00,baltimore,md,USA,cigar,120.0,2 minutes,Rotating circular object with blinking lights hovers over I-95 in Maryland,1/12/2012,39.2902778,-76.6125
46200,2004-05-08 13:45:00,sherwood,or,USA,sphere,1200.0,20 min.,Sphere cluster release&#39s smaller object&#39s.,5/10/2004,45.3566667,-122.8388889
40941,2014-04-08 08:00:00,scottsdale,az,USA,unknown,600.0,10 minutes,Crazy bright blue light.,4/11/2014,33.5091667,-111.8983333
44816,2012-05-28 13:00:00,boston,ma,USA,cigar,60.0,1 minute,Large metallic-object&#44 oblong shaped--disappeared completely from cloudless sky.,5/29/2012,42.3583333,-71.0602778
78487,2010-09-29 20:40:00,cape coral,fl,USA,triangle,90.0,1 to 1.5 min,large triangle shaped almost transparent craft traveling low and slow with no lights or sound.,11/21/2010,26.5625,-81.9497222
28510,2002-02-25 21:00:00,cedar rapids,ia,USA,oval,300.0,5 mins,FRIENDS AND I WERE OUTSIDE AND ALLLLLLL THE SUDDEN A HIGH PITCHED SOUND CAME OVER US AND WE TRIED EVERYTHING FOR THE SOUND TO GET BLOCK,3/19/2002,42.0083333,-91.6438889
4243,2002-10-24 21:00:00,cheltenham (uk/england),,Britain,light,600.0,10 minutes,GREEN LIGHT BALLS CHASING  EACH OTHER,10/28/2002,51.9,-2.083333
1292,2003-10-13 18:30:00,wilton,ca,USA,disk,1800.0,about a half houl,In a clear sky at approximatley 6:30 pm on 10/13&#44 I and my daughters observed a white shaped dics object in front of the setting sun mo,10/15/2003,38.4119444,-121.2711111
62870,2005-07-05 01:00:00,covina,ca,USA,circle,600.0,10 minutes,circle on fire hiding behind tree&#44 hovering very low making no noise at all.watching me as i loaded up the family to go to work. have v,5/15/2006,34.09,-117.8894444
